Ticker,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM)
BBL,37.0677717,37.0677717,34.4304483,20.61751652
FRG,54.94129967,-0.87392138,-5.14370403,0.45747671
BDJ,88.44675409,294.32237323,294.27108762,294.27108762
CC,19.0519269,7.72571015,-2.22543876,-0.9227429
UNIT,48.09042783,2.5520905,1.42862386,0.92051783
WHG,88.25022814,13.09053045,10.99983621,6.91555327
CYD,16.96063454,5.11387732,6.0657644,3.49277843
MO,64.1493231,53.34916145,3.86946858,-6.61749848
RDS.A,8.9845329,5.6255626,6.40804697,4.63771792
LB,39.55579734,8.99943717,-1.40566022,-2.83585754
HAFC,,17.25194567,17.25194567,11.86164631
BCRH,,-92.43027888,-92.43027888,-92.43027888
LYG,,14.44573449,8.74510827,4.91245371
CEO,44.57537671,37.16107584,36.70147354,25.19677358
UE,41.90862784,9.19302716,31.98488474,29.79273694
BRT,20.36335291,-15.72805643,-8.34368802,-6.48524747
XOM,21.45432528,4.59540225,7.83452802,5.60167191
CSPI,23.1015094,-1.62159341,-1.44025674,-1.2837071
BIG,37.19019458,3.79457392,5.9653816,4.55487134
ATAX,90.37479367,38.95026351,38.85483815,36.12076031
XHR,14.22842823,7.60970611,5.4653819,4.78828661
TPR,67.59594617,13.85446087,10.56155508,9.72088387
TIGO,47.04535044,10.23820431,1.99267064,2.19880898
SRC,61.87583614,31.24304476,37.51652184,35.00881834
ITCB,,11.83546125,11.3505325,6.76215954
PBI,41.23683771,6.76376039,0.89775582,1.26040977
AHH,20.0436528,2.86354601,12.38141638,9.37482948
IMOS,32.88647608,11.63710669,15.38852049,12.67074706
VLO,4.43966432,3.61894035,3.21827196,2.22860255
BBDC,82.30694434,83.29305038,81.46401837,80.99035155
PBA,27.57952974,23.98340249,16.01659751,20.6362379
WDR,53.69847275,9.48036056,14.79454486,10.7413012
HSBC,,12.05091221,16.65761478,9.74996912
MGP,60.36344131,30.48785992,30.02642045,9.47441457
RIO,35.29143591,35.29143591,25.0627135,18.55572012
DIN,40.77356297,22.88530375,15.21383729,11.07585549
DK,7.97573724,4.80092921,4.33094577,3.28450668
JCAP,58.80880105,97.06188651,98.39578117,97.91717445
NBR,7.8189633,-2.33716887,-19.35089997,-23.78491304
CIO,25.48393496,-0.62071658,1.56266998,1.15056536
SJIU,13.13474664,12.39456625,5.61095734,4.76273627
UFS,13.35249042,4.96168582,1.68582375,1.6091954
QQQX,,,,
NHI,74.01992541,51.6431541,50.45756731,50.45976867
BWL.A,15.73050614,11.03521055,17.46075905,13.43086117
TSE,8.70808835,1.26065999,-0.38137613,2.43656973
SHO,33.83457366,9.67236297,12.79108869,12.09101417
UG,58.91161321,39.3843319,44.01475798,34.75500794
BCS,,52.63020139,20.333865,11.58024491
R,15.35432533,3.82038399,-0.47435779,-0.26858241
ROIC,43.4212741,14.84667366,19.22461243,17.32947526
KRO,22.30951418,8.31841026,6.99555196,5.03148287
PRU,,8.31831415,7.83307916,6.37737419
OPI,20.18062516,-7.64345986,4.75304627,4.45396202
CMA,,42.18500797,40.72301967,31.65869219
ANF,59.17829975,3.49071079,1.7203904,1.0863154
ESCA,22.64914895,5.13733723,4.94846046,4.02013947
VGR,31.62938072,12.36616272,7.02984854,4.84648142
BTI,66.9767357,38.58239924,28.66361973,22.05661955
SIM,12.60094332,8.68210168,7.49619521,6.18450116
NAVI,86.1754514,13.20445012,13.91573956,10.88819989
WYND,32.41635688,20.49566295,16.87732342,12.11895911
IRT,31.38840191,5.38035121,22.69962685,22.47534353
