Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
RRR,-0.0482,-0.0477,-0.0812,474880000,174519000,684382000,1856534000,-0.0482,1856534000,-3351000
FMNB,1.2894,1.2895,1.2823,,,,130588000,1.2828,130588000,35760000
TBNK,2.3754,2.3761,2.3486,,,,83400000,2.3426,83400000,21846000
FFNW,1.0378,1.0388,1.029,,,,63761000,1.0275,63761000,10353000
LXFR,0.1136,0.1118,0.1055,62500000,21700000.000249,108000000.000177,443500000.000726,0.1112,443500000.000726,3100000.00000507
SIMO,1.8342,1.8349,1.832,81720400,74099352.906276,222589871.246038,458113022.32893693,1.8234,458113022.32893693,64520124.580837
SXT,1.9413,1.9416,1.9399,224125000,96880000,426273000,1322934000,1.9399,1322934000,82047000
GVA,0.9735,-2.2523,-2.2572,9967000,91431999.9999999,389192000,3318414000,0.9633,3318414000,42410000
UL,2.4059,2.4081,,10843200000,,,58178543761.6227,2.3968,58178543761.6227,6295773540.96052
OPOF,1.5125,1.5126,1.5125,,,,54320000,1.5124,54320000,7860000
CVBF,1.4836,1.4836,1.4817,,,,510310000,1.4817,510310000,207339000
PKG,7.3689,7.3553,7.3365,1467200000,383300000,1644000000,6964300000,7.3454,6964300000,691200000
JRVR,1.2664,1.2724,1.2457,,,,896270000,1.2499,896270000,38339000
HNP,0.0434,0.1805,1.4139,,852068184.60462,2565494170.11829,25397259092.040806,0.0434,25397259092.040806,165714094.467572
UVE,1.3721,1.2881,1.2584,,,,915420000,1.3585,915420000,46514000
UCBI,2.313,2.313,2.3128,,,,653447000,2.3128,653447000,184346000
SFNC,2.4182,2.4344,2.4238,,,,988154000,2.4072,988154000,238167000
JW.A,2.9421,2.5998,2.5826,386115000,297475000,1190689000,1800069000,2.9091,1800069000,168263000
CCNE,2.6335,2.6301,2.6301,,,,181786000,2.6335,181786000,39934000
QCOM,3.6248,3.5513,3.5159,9865000000,2964000000,15677000000,24273000000,3.5951,24273000000,4386000000
NGVC,0.4199,0.405,0.403,45999000,53006000,210512000,903582000,0.4175,903582000,9416000
SALT,0.6558,0.6564,0.6304,70060000,12606000.0001314,47810000.0003734,224579000.001754,0.64,224579000.001754,44654000.0003488
CNS,2.8477,2.8477,2.7902,196251000,99113000,353376000,423057000,2.7874,423057000,134621000
JW.B,2.9421,2.5998,2.5826,386115000,297475000,1190689000,1800069000,2.9091,1800069000,168263000
HBCP,3.0782,3.0776,3.0526,,,,116623000,3.054,116623000,27932000
RCI,3.07707731,3.08070175,3.06712936,4849816849.81685,687873529.9787931,2871794871.794872,11623674571.042992,3.07113939,11623674571.042992,1575477154.4245229
EWBC,4.6326,4.6325,4.6132,,,,2029434000,4.611,2029434000,674035000
KRNY,0.4628,0.4939,0.4937,,,,250888000,0.4626,250888000,42142000
GSH,0.0836,0.0723,0.1743,,35385333.2685461,222864773.998661,2992330465.9905796,0.0836,2992330465.9905796,118491487.561131
OPBK,1.0401,1.0399,1.0235,,,,70205000,1.0275,70205000,16374000
CONE,0.3631,0.3964,0.3922,619000000,51800000,246900000,1048000000,0.3618,1048000000,40700000
PB,4.523,4.5541,4.5541,,,,959032000,4.523,959032000,332552000
PROV,0.5901,0.7478,0.7312,,,,57287000,0.5815,57287000,4417000
TROW,8.819,8.821,8.7016,2746800000,1205500000,4689500000,5617900000,8.7008,5617900000,2076000000
CSCO,2.63,2.5884,2.5556,16237000000,7724000000,33168000000,51902000000,2.61,51902000000,11621000000
SBLK,-0.1728,-0.1878,-0.1881,204296000,68352000.0007116,152373000.001191,821365000.0064169,-0.1728,821365000.0064169,-16201000.0001266
VALE,-0.3298,-0.3331,-0.3331,11146000000,4229281812.8662505,16011038551.0424,37680393215.68,-0.3298,37680393215.68,-1691219083.17472
SRCE,3.5719,3.5721,3.5721,,,,382651000,3.5719,382651000,91442000
RGA,13.8791,13.8786,13.6338,,,,14323000000,13.6189,14323000000,870000000
AMTD,3.9784,3.6044,3.5913,3016000000,1174000000,5530000000,6012000000,3.9641,6012000000,2208000000
PUK,0.6078,3.1965,3.1959,,,,94124027336.1943,0.6078,94124027336.1943,786241288.344288
GSBC,5.1836,5.1832,5.136,,,,267904999.99999997,5.1369,267904999.99999997,73612000
MLHR,2.7198,3.5712,3.5515,,243300000,929900000,2567200000,2.7029,2567200000,160500000
RVSB,0.7644,0.7538,0.7518,,,,60976000,0.762,60976000,17266000
SQM,1.0555,1.0513,1.0513,636048000,134974691.643483,546827609.20836,1941423998.96224,1.0555,1941423998.96224,277795769.03894204
CHCO,5.4276,5.4297,5.4233,,,,264668000,5.4213,264668000,88546000
COFS,1.5834,1.5832,1.578,,,,41641000,1.5798,41641000,7171000
MPB,2.0902,2.0901,2.0843,,,,107948000,2.0844,107948000,17701000
PLOW,2.1303,2.1297,2.1264,105368000,43600000,157861000,571710000,2.1271,571710000,48527000
AMP,14.1163,14.1411,13.9534,2562000000,1682000000,6567000000,14440000000,13.9191,14440000000,1893000000
BBY,5.8173,5.8632,5.8035,2869000000,3216000000,9976000000,43638000000,5.7479,43638000000,1541000000
WAFD,2.6128,2.8032,2.8019,,,,734491000,2.612,734491000,210256000
THO,2.4724,3.7117,3.7021,593305000,232567000,888977000,7864629000,2.4668,7864629000,133275000
HMN,4.4191,4.418,4.3975,,,,1402946000,4.3969,1402946000,184443000
VAC,3.1435,3.1552,3.1222,705000000,258000000,970000000,4355000000,3.1011,4355000000,138000000
APOG,1.6436,1.4413,1.4203,105486000,72410000,287365000,1402637000,1.6272,1402637000,45694000
EVRG,2.7971,2.8135,2.8081,2098900000,254900000,1551300000,5147800000,2.7924,5147800000,669900000
QTS,-0.086,-0.1034,-0.1047,229038000,36002000,140931000,479974000,-0.086,479974000,23463000
PFIS,3.48,3.4798,3.4798,,,,108501000,3.48,108501000,25736000
NBHC,2.5748,2.5746,2.5455,,,,330425000,2.5458,330425000,80271000
RRC,-6.9224,-6.8759,-6.8771,655654000,-1135615000,-953366000,2600934000,-6.9224,2600934000,-1716548000
PCTI,0.21,0.2086,0.2049,6862000,11463000,41293000,90617000,0.2065,90617000,3750000
ENR,0.5889,0.1223,0.1095,536000000,299100000,1023000000,2494500000,0.581,2494500000,51100000
PKE,0.3108,0.4276,0.4254,12598000,5022000,16184000,51116000,0.3094,51116000,6306000
KMB,6.2777,6.2817,6.2381,4213000000,1651000000,6451000000,18450000000,6.2413,18450000000,2157000000
TFII,2.86940428,2.87187199,2.81989589,649321765.9533448,127393098.12994023,506321958.74301136,3993725853.0942745,2.80300752,3993725853.0942745,239277424.3300559
BMY,2.017,2.2003,2.1968,8113000000,4415000000,17250000000,26145000000,2.0088,26145000000,3439000000
